model,prompt_file,latency_seconds,prompt_tokens,completion_tokens,total_tokens,response_preview
gpt-5.4,prompt_09_systemcot.txt,5.1,439,378,817,"[
  {
    ""task"": ""Complete responsive layout updates for the dashboard redesign (mobile and tablet responsiveness)"",
    ""owner"": ""Nina"",
    ""deadli"
gpt-5.4,prompt_10_optimized.txt,4.2,533,311,844,"[
  {
    ""task"": ""Complete mobile and tablet responsive layout updates for the dashboard redesign"",
    ""owner"": ""Nina"",
    ""deadline"": ""Friday even"
gpt-5.4-mini,prompt_01_zeroshot.txt,5.79,398,243,641,"Here are the action items from the meeting notes:

| Owner | Action Item | Due Date |
|---|---|---|
| Nina | Finish responsive layout updates for the "
gpt-5.4-mini,prompt_02_format.txt,2.73,435,413,848,"[
  {
    ""task"": ""Finish responsive layout updates for the dashboard redesign, including mobile and tablet responsiveness"",
    ""owner"": ""Nina"",
    "
gpt-5.4-mini,prompt_03_oneshot.txt,4.02,497,401,898,"[
  {
    ""task"": ""Finalize dashboard redesign"",
    ""owner"": ""Sarah"",
    ""deadline"": ""Before client review next Wednesday"",
    ""priority"": ""Medium"""
gpt-5.4-mini,prompt_04_fewshot.txt,3.59,615,348,963,"[
  {
    ""task"": ""Finalize dashboard redesign"",
    ""owner"": ""Sarah"",
    ""deadline"": ""Before client review next Wednesday"",
    ""priority"": ""High""
 "
gpt-5.4-mini,prompt_05_cot.txt,4.6,438,679,1117,"```json
{
  ""meeting"": {
    ""title"": ""Project Sync Meeting – Internal Product Team"",
    ""date"": ""2026-05-18"",
    ""duration_minutes"": 35
  },
  ""tas"
gpt-5.4-mini,prompt_06_systempersona.txt,3.28,428,343,771,"{
  ""tasks"": [
    {
      ""owner"": ""Nina"",
      ""task"": ""Complete mobile and tablet responsive layout updates for the dashboard redesign."",
      ""d"
gpt-5.4-mini,prompt_07_role.txt,5.3,427,817,1244,"{
  ""meeting_title"": ""Project Sync Meeting – Internal Product Team"",
  ""meeting_date"": ""2026-05-18"",
  ""action_items"": [
    {
      ""id"": 1,
      ""o"
gpt-5.4-mini,prompt_08_rolefewshot.txt,3.26,506,492,998,"[
  {
    ""task"": ""Finalize dashboard redesign"",
    ""owner"": ""Sarah"",
    ""deadline"": ""Before client review next Wednesday"",
    ""priority"": ""High""
 "
gpt-5.4-mini,prompt_09_systemcot.txt,3.76,439,449,888,"{
  ""tasks"": [
    {
      ""task"": ""Finish responsive layout updates for the dashboard redesign (mobile and tablet responsiveness)."",
      ""owner"": """
gpt-5.4-mini,prompt_10_optimized.txt,2.51,533,280,813,"[
  {
    ""task"": ""Complete responsive layout updates for dashboard redesign"",
    ""owner"": ""Nina"",
    ""deadline"": ""Friday evening"",
    ""priority"": "
